Group,Metric Name,Time,Value
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.4832475321914342,103765972601965
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.4851601557191283,103765972796030
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.48878520511978574,103765973178943
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.490921481720344,103765973373498
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.4929465730261449,103765973565284
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.49492873119794245,103765973758064
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.49692919481567327,103765973953781
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.5009244109924694,103765974341881
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.5029565659760935,103765974536206
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.5049261197412221,103765974731434
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.5079034048369901,103765975020757
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.5099130261873882,103765975502554
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.5149593076048737,103765975696084
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.5169474373397672,103765975890379
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.5189309681695248,103765976084689
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.5219011695486673,103765976373599
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.5239110514034957,103765976565889
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.5259084290456668,103765976756619
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.5279338610111075,103765976951174
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.5299331824171052,103765977144734
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.5319184365838635,103765977335984
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.5364035614001528,103765977723319
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.5389436599453719,103765978012596
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.54394688799604,103765978492435
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.5459357190890152,103765978687448
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.5479453805170179,103765978879203
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.5499235509671507,103765979072963
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.5519073122431352,103765979264488
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.5539077257638602,103765979458783
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.5559106040572723,103765979651823
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.5579151756294819,103765979843073
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.5599155590920034,103765980039387
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.5649408398446416,103765980518950
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.5669625445928478,103765980708976
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.5689495020578047,103765980898222
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.5709342452351035,103765981089380
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.5729335766605024,103765981284134
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.574934631422902,103765981478689
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.5769307366011249,103765981671943
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.5789504875661035,103765981866023
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.5868987382407799,103765982643156
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.5890020510114966,103765982836457
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.5909378894916961,103765983030522
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.5929322613135171,103765983224312
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.5949350995293246,103765983416143
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.5969357735544799,103765983610438
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.5989517171470148,103765983800448
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.6009585030068824,103765983992234
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.602939769451976,103765984187814
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.6049327285382323,103765984377595
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.6069525596584202,103765984573175
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.6129079113632473,103765985153795
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.6149360686058055,103765985349864
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.6169390971902353,103765985542904
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.6189559525482764,103765985734782
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.6220066497963997,103765986316901
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.6270958342896852,103765986514730
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.628992486891918,103765986707525
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.6309388557627448,103765986903074
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.632952254427383,103765987097660
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.6349622364762231,103765987291266
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.6369405271591699,103765987486081
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.6389968088608057,103765987681630
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.6409348516092621,103765987875420
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.6429341730152598,103765988068720
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.6508865116056126,103765988846541
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.6530240105731133,103765989040270
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.6549722831301619,103765989234565
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.656939231850987,103765989427635
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.6589405871954217,103765989622435
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.6609377444107672,103765989815781
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.6629340599964146,103765990011851
